v,p_r,v_true,MeanV,LowerCI,UpperCI
0,0.002,0,0.0274,0.0007,0.08604
1,0.002,1,1.0936,1.0080995,1.18E+00
2,0.002,2,1.6863,1.4685,1.9485
0,0.004,0,0.0113,0.0006,0.0374
1,0.004,1,0.9527,0.90028,1.0073
2,0.004,2,1.84625,1.65887,2.0561
0,0.006,0,0.0229,0.0007,0.0674
1,0.006,1,1.0357,0.9914,1.0805
2,0.006,2,1.7981,1.6445,1.9612
0,0.008,0,0.1559,0.1089,0.1981
1,0.008,1,1.0892,1.0445,1.1333
2,0.008,2,1.9774,1.8089,2.1764
0,0.01,0,0.1322,0.0516,0.1964
1,0.01,1,1.01515,0.9780851,1.05347
2,0.01,2,2.1057,1.9311,2.3006
0,0.015,0,0.02185315,0.00075599,0.06370008
1,0.015,1,1.00006463,0.9702469,1.030881
2,0.015,2,2.1412649,1.98827,2.3126225
0,0.0185,0,0.0235,0.0007,0.069
1,0.0185,1,0.9874,0.9595,1.0153
2,0.0185,2,1.9737,1.852898,2.10436
0,0.02,0,0.10446193,0.06062506,0.1498826
1,0.02,1,0.9908,0.9646,1.0175
2,0.02,2,1.90908557,1.798939,2.0280905
